外国频道,#genre#
新马l新传媒 8,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
新马l朝阳频道,http://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8
韩国l朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
印度l音乐电视台,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
阿联酋lATV 1,http://85.132.81.184:8080/atv/index.m3u8
阿联酋lATV 2,http://85.132.81.184:8080/atv-2/index.m3u8
阿联酋lATV 4,http://85.132.81.184:8080/atv-4/index.m3u8
阿联酋l星空电影,http://livecdnh1.tvanywhere.ae/hls/star_movies/04.m3u8
埃及l AVA 音乐频道,http://51.15.236.137/hls/stream.m3u8
半岛电视台,http://aljazeera-eng-apple-live.adaptive.level3.net/apple/aljazeera/english/appleman.m3u8
德国l 超级游艇,http://cdn.mobibase.com/hls/733/258_5000k/playlist.m3u8
俄罗斯l FM 音乐频道,http://rtmp.one.by:1200
俄罗斯l HD 时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
俄罗斯l OR 音乐频道,http://rtmp.one.by:2200/
俄罗斯l RU 音乐频道,http://rutv.gcdn.co/streams/1410_1272/720n/index.m3u8
俄罗斯l 俄罗斯一台,http://a787201928-s26881.cdn.ngenix.net/hls/russia_hd/playlist_3.m3u8
俄罗斯l 军事频道,http://serv25.vintera.tv:8081/parad/patriot/playlist.m3u8
俄罗斯Shanson TV (Opt-1),http://hls.shansontv.cdnvideo.ru/shansontv/smil:shansontv.smil/playlist.m3u8
俄罗斯Tjumenskoe Vremja,http://streams.sibinformburo.cdnvideo.ru/sibinformburo/sibinformburo.sdp/playlist.m3u8
俄罗斯TopShop,http://tv-topshop.netrack.ru/hls/topshop.m3u8
法France24,http://static.france24.com/live/F24_EN_LO_HLS/live_web.m3u8
法国Francophonie 24,http://mv2.tvfrancophonie.org/live/Stream1/media_b776739_w671289549.m3u8
法国l 巴黎调频,http://d2ktlibtvvj8vp.cloudfront.net/trace_kitoko/6/prog_index.m3u8
法国l 法国24台 (英语),http://f24hls-i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8
法国l 热带音乐,http://d2ktlibtvvj8vp.cloudfront.net/trace_tropical/6/prog_index.m3u8
韩国lEBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国lKTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国lUBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
韩国WFCHD，,http://wfc.bonus-tv.ru:80/cdn/wfcint/tracks-v1a1/index.m3u8
荷兰Omroep West,http://d2dslh4sd7yvc1.cloudfront.net/live/omroepwest/ngrp:tv-feed_all/playlist.m3u8
卡塔尔l卡斯体育,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass3
罗马尼亚Iasi TV Life,http://webmobile.xdev.ro:81/tv24/playlist.m3u8?time=1464028219168
罗马尼亚TV Kit,http://webmobile.xdev.ro:81/tv9/playlist.m3u8
美国l MTV 音乐频道,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
美国l 中国环球 (美国),http://live.cgtn.com/1000/prog_index.m3u8
美国TVW,http://d3ktuc8v2sjk6m.cloudfront.net/livetv/ngrp:TVWAIR_all/chucklist.m3u8
